name,location,owner_name,owner_contact,manager_name,notes,
98 Pulaski St,48 Forest Court Torrington CT 06790,,(860)387-7444,Nicholas Gordneer,PROPERTY INFORMATION\n\nTotal Acres: 0.35\nGIS Acres: \nLand Use: Three Family\nLand Class Code: Residential\nZoning: R6\nCensus Tract: \nNeighborhood: 3A\nLot Description: \nLot Utilities: \nCONSTRUCTION DETAILS\nBuilding Style: Three Family\nBuilding Condition: Average\nNumber of Rooms: 14\nNumber of Bedrooms: 5\nNumber of Bathrooms: 3\nStories: 2.4\nRoof Structure: \nPrimary Exterior Wall Type: Vinyl\nHeating/Cooling Type: \nAC_Type: Other\nHeating Fuel: Gas,
48 Forest Ct,48 Forest Court Torrington CT 06790,,(860)387-7444,Nicholas Gordneer,PROPERTY INFORMATION\n\nTotal Acres: 0.17\nGIS Acres: \nLand Use: Two Family\nLand Class Code: Residential\nZoning: R6\nCensus Tract: \nNeighborhood: 3A\nBuilding Style: Two Family\nBuilding Condition: Average\nNumber of Rooms: 11\nNumber of Bedrooms: 5\nNumber of Bathrooms: 2\nStories: 2.4\nRoof Structure: \nPrimary Exterior Wall Type: Clapboards\nHeating/Cooling Type: Steam\nAC_Type: \nHeating Fuel: Oil\nLiving Area: 2,080\nConstruction: Wood Frame\nYear Built: 1927
